Company Name,Category,Description,Capital Raised ($M),Active Investors,Headcount,URL
Adept,Natural Language Frontends,"* Adept is an ML research and product lab building general intelligence by enabling humans and computers to work together creatively.
- We believe that AI systems should be built with humans at the center — our vision is one where machines work together with people in the driver's seat: discovering new solutions, enabling more informed decisions, and giving us more time for the work we love.",$65.0,"10X Capital,Addition,Air Street Capital,Andrej Karpathy,Chris Re,Greylock Partners,Howie Liu,Root Ventures,Sarah Meyohas,Scott Belsky",,www.adept.ai
Adflow,Ad Generation & Brand Building,"* Create high conversion ads in hours seconds
- Adflow turns a few words into engaging, high conversion copy to increase sales and boost your brand.",,No Data,,https://www.adflow.ai/
Aflorithmic Labs,Synthetic Voices & Dubbing,* AI to build API first infrastructure for audio creation,$1.5,Innovate UK,36,www.aflorithmic.ai
AI Dungeon,Other Consumer,"* The future of AI-generated games
- We’re making AI a tool of creativity and freedom for everyone.",$4.1,"Album VC,Griffin Gaming Partners,NFX",24,www.latitude.io
AI2SQL,"Generation for Code, Terminal, and Querying","* Write SQL in seconds
- With AI2sql, engineers and non-engineers can easily write efficient, error-free SQL queries without knowing SQL. It's time to take back your time!",,No Data,,https://www.ai2sql.io/
AI21 Labs,Foundation Model Providers,"* Your thoughts in words. 
- Say exactly what you mean through clear, compelling and authentic writing.",$98.5,"8VC,Ahren Innovation Capital,Amnon Shashua,Mark Leslie,Pitango Venture Capital,TPY Capital,Walden Catalyst",120,www.ai21.com
Aide,Knowledge Bases / Vector Search Apps,"* Understand and solve every support issue in seconds
- Identify common issues and use AI suggested solutions for fast responses and happy users",,"Allison Pickens,Farhan Thawar,GarageCapital,Kevin Carter,Khallil Mangalji,Prehype,SV Angel,Village Global",3,www.aide.app
Aimi,Music,* Turn minutes into forever with Aimi artist experiences,$24.0,"Endanik,Ethos VC,Founders Fund,Great Mountain Partners",25,www.aimi.fm
AirPaper,Business Intelligence,* Automated document extraction powered by Large Language Models,,No Data,,https://airpaper.ai/
Aiva Technologies,Music,* The Artificial Intelligence composing emotional soundtrack music,$2.3,"Docler Holding,Geoffroy Verney-Carron,Horizon 2020 SME Instrument,Kima Ventures,Luxinnovation,NetEase,Pitch Your Startup",13,www.aiva.ai
AiXcoder,"Generation for Code, Terminal, and Querying",* Local model only AI pair programmer,,"Galileo Venture,GL Ventures,PreAngel",,www.aixcoder.com
Alethea AI,Chatbots & Avatars,* Transform NFTs into intelligent NFTs through AI,$16.2,"6th Man Ventures,Binance Labs,BITKRAFT Ventures,Bitscale Capital,Chapter One Ventures,CMS Holdings (New York),Crasolum Ventures,Crypto.com Capital,DeFiance Capital,Forum Ventures,Free Company Ventures,Galaxy Interactive (New York),Gemini Frontier Fund,Griffin Gaming Partners,HOF Capital,Ignite Group (Honk Kong),KID Venture Capital,Mark Cuban,Multicoin Capital,Nascent (Investment firm),Olive Tree Capital,RedBeard Ventures,Right Side Capital Management,Sax Capital,Sfermion,White Star Capital",100,www.alethea.ai
Algomo,Knowledge Bases / Semantic Search Apps,* Customer service automation in every language,,,10,www.algomo.com
Altered,Accent Modulation & Voice Augmentation,"* Augment Your Voice
- Our unique technology allows you to change your voice to any of our carefully curated portfolio or custom voices and create compelling professional voice performances.",$3.4,"Big Pi Ventures,PTW",6,www.altered.ai
AMAI,Synthetic Voices & Dubbing,"* AI Voices That Sound Like Humans but Scale Like Software
- Use realistic speech synthesis and save 30% or even more on any voice content production",,"Crosesell,Joint Journey Intelligent Investments,NRG Ventures,Sergey Dashkov",8,www.amai.io
Andi,Other Consumer,"* Hello! I'm Andi, your smart search assistant. The more detailed your question, the better I can help ",$3.0,"Acacia Ventures Partners,BBQ Capital,Fepo Capital,Gaingels,Goodwater Capital,K20 Fund,Y Combinator",8,www.andisearch.com
Anima,Figma to Code,"* Design to code, automated
- Powerful, interactive prototypes
- Seamless handoff
- Developer friendly code",$12.6,"Hetz Ventures,INcapital Ventures,MizMaa Ventures,Y Combinator,Zohar Gilon",50,www.animaapp.com
Anyword,Generation for Copywriters & SMB Marketers,"* Copywriting AI with predictable results
- Get more conversions and drive more sales with an AI writer that generates and optimizes your copy. Powerful predictive analytics tells you what works before you publish.",$32.4,"Amir Orad,Benjamin Narasin,Dror Berman,Gandyr Investments,Geoff Isenman,Howard Lerman,Innovation Endeavors,Lead Capital Partners,Marker,Michael Ronen,Nir Eyal,Omri Kaplan,Oren Abekasis,Sherpalo Ventures,The New York Times,Tomer Cohen,UpWest,Yossi Matias",198,www.anyword.com
AskAI,Knowledge Bases / Vector Search Apps,"* The one sentence answer you need
- ASK aggregates text-heavy company knowledge & customer communications to reveal pinpointed answers and actionable insights.",$2.6,"Aviv Growth Partners,Barak Goldstein,Efi Cohen,Geffen Capital,GTMFund,GuideStar,Interplay (B2B),Ran Sarig,Simon Chan,State Of Mind Ventures,Vertex Ventures Israel,Web Summit,Yakir Daniel",14,www.ask-ai.com
AskCodi,"Generation for Code, Terminal, and Querying","* Write [CODE] Faster. Easier. Better.
- AskCodi is made keeping in mind the needs of developers to avoid redundant tasks, therefore resulting in less time spent on development and more time to execute.",,No Data,,www.askcodi.com
Augmenta,Vertical,"* Automated building design
- Design sustainable, code complaint, fully constructible buildings in hours",,"Ferguson Ventures,Hazelview Ventures,Whiteshell Group",26,www.augmenta.ai
Augoor,Documentation Writing,"* Smarten up your software development
- We make code more accessible by helping people comprehend and automatically document codebases from multiple repositories, fast and simple. Developers, managers, teams, and companies benefit from Augoor.",,No Data,,www.augoor.com
AutoBound,Sales Tools,"* Rise above the noise. By analyzing millions of data points on your target buyers, Autobound suggests personalized emails to send the right prospect, at the right time.",$1.9,"Adrian Kunzle,AJ Forsythe,Brett DeBari,Chris Moreno,Douglas Murphy,Evan Wright,Founder Institute,Kane Lightowler,Luke Murphy,Nick Talarico,Pavel Asanov,Richard Socher,Robert Henderson,Sam Gutmann,Simon Chan,Tam Pham,USC Marshall School of Business",22,www.autobound.ai
Automata,Content Repurposing,* We help marketers repurpose and reformat marketing content using AI,$0.2,,5,www.byautomata.io
AutoRegex,"Generation for Code, Terminal, and Querying","* Effortless conversions from English <> Regex
- Regex is difficult to write and comprehend to the average human. This website uses artificial intelligence to automate this task by translating back and forth between English and RegEx",,No Data,,www.autoregex.xyz
Banana.dev,"MLOps, Infra, & DevTools","* Ship ML to Prod, instantly. ⚡
- Scaleable inference hosting for your machine learning models on serverless GPUs.",$1.8,"Alumni Ventures,Basecamp Fund,CapitalX,Founders,inc,Pioneer.app",14,www.banana.dev
