Category,Name,URL,Org URL,$ Raised ,Top Investors,Founded,HQ Region,Focus
Text,Meta OPT,https://github.com/facebookresearch/metaseq/tree/main/projects/OPT,https://meta.com/,"$26,122,817,488","Microsoft, PayPal, General Atlantic, Tiger Global Management, Accel",2004,SF Bay Area,Text Generation
MLOps/Platform,OpenAI,https://openai.com/,,"$11,300,120,000","Andreessen Horowitz, Microsoft, Thrive Capital, Y Combinator, Sequoia Capital",2015,SF Bay Area,AI Research and deployment
Code,Amazon CodeWhisperer,https://aws.amazon.com/codewhisperer/,https://amazon.com/,"$8,108,000,000","DBS Bank, AOL, Mizuho Bank, Kleiner Perkins",1994,"Seattle, WA",Code Completion / Documentation
Image,Nvidia Get 3D,https://nv-tlabs.github.io/GET3D/,https://www.nvidia.com/,"$4,095,000,000","Sequoia Capital, SoftBank Vision Fund, DARPA, ARK Investment Management, ARPA-E",1993,SF Bay Area,3D images
Video,VOCHI,https://vochi.com/,https://www.pinterest.com/,"$1,486,100,000","Rakuten, Andreessen Horowitz, K2 Global, Wellington Management, Bessemer Venture Partners",2010,SF Bay Area,Video creation/editing
Text,Anthropic,https://www.anthropic.com/,,"$1,454,000,000","Google, Menlo Ventures, Salesforce Ventures, Sound Ventures, Spark Capital",2021,SF Bay Area,Text Generation
MLOps/Platform,Scale AI,https://scale.com/,,"$602,620,000","Thrive Capital, Y Combinator, Tiger Global Management, Accel, Wellington Management",2016,SF Bay Area,Data-Centric ML Lifecycle
Audio,Dialpad,https://www.dialpad.com/,,"$450,000,000","SoftBank, Andreessen Horowitz, Google Ventures, Section 32, G Squared",2011,SF Bay Area,Team/Customer Communications
MLOps/Platform,Adept,https://www.adept.ai/,,"$415,000,000","NVIDIA, Microsoft, General Catalyst, Root Ventures, SVA",2022,SF Bay Area,General intelligence
MLOps/Platform,Cohere.ai,https://cohere.ai/,,"$414,946,073","NVIDIA, Tiger Global Management, Inovia Capital, Index Ventures, Radical Ventures",2019,North America (excl. US),NLP Platform
Bio,Insilico,https://insilico.com/,,"$401,300,000","Deerfield, Warburg Pincus, WuXi AppTec, OrbiMed, Juvenescence",2014,APAC,Protein & drug design
Text,Grammarly,https://www.grammarly.com/,,"$400,000,000","General Catalyst, BlackRock, Baillie Gifford, Breyer Capital, Sozo Ventures",2009,SF Bay Area,Writing/Editing
Chatbot/Conversational AI,ASAPP,https://www.asapp.com/,,"$380,000,000","Dragoneer Investment Group, Telstra Ventures, Bienville Capital, Emergence, HOF Capital",2014,"New York, NY",Contact Center
Code,GitHub Copilot,https://github.com/features/copilot,https://github.com/,"$350,000,000","Thrive Capital, Andreessen Horowitz, Sequoia Capital, EquityZen, SVA",2008,SF Bay Area,Code Generation
Data,DataStax,https://www.datastax.com/,,"$342,571,788","Sequoia Capital, Lightspeed Venture Partners, EDBI, Jason Calacanis, Rackspace",2010,SF Bay Area,Data stack for building real-time AI apps
Image,Lightricks,https://www.lightricks.com/,,"$335,000,000","Goldman Sachs, Insight Partners, Greycroft, Goldman Sachs Asset Management, Viola Ventures",2013,Israel,AI Image generation
Chatbot/Conversational AI,Moveworks,https://moveworks.com,,"$305,000,000","Tiger Global Management, Lightspeed Venture Partners, Sapphire Ventures, Bain Capital, Bain Capital Ventures",2016,SF Bay Area,AI-based employee support
MLOps/Platform,Anyscale,https://www.anyscale.com/,,"$259,000,000","Andreessen Horowitz, Ant Group, Intel Capital, New Enterprise Associates, The House Fund",2019,SF Bay Area,Platform / application scaling
Audio,DupDub,https://www.dupdub.com/,https://www.mobvoi.com/,"$252,763,410","Google, Sequoia Capital China, Volkswagen Group, ZhenFund, SIG China (SIG Asia Investments)",2012,APAC,Voiceovers
Chatbot/Conversational AI,Poe by Quora,https://poe.com/,https://www.quora.com/,"$226,000,000","Y Combinator, Tiger Global Management, Founders Fund, Collaborative Fund, Peter Thiel",2009,SF Bay Area,Easy to use chat interface
MLOps/Platform,Inflection AI,inflection.ai,,"$225,000,000",,2022,SF Bay Area,cross-industry generative interfaces
Text,Instoried,https://instoried.com/,,"$219,500,000","Venture Catalysts, 9Unicorns Accelerator Fund, EXPERT DOJO, SOSV, Artesian VC",2018,APAC,Text generation
Chatbot/Conversational AI,Observe.ai,https://www.observe.ai/,,"$214,020,000","Zoom, Bossanova Investimentos, Y Combinator, Menlo Ventures, Hack VC",2017,SF Bay Area,Contact Center
Code,Replit,https://replit.com/,,"$202,020,000","Andreessen Horowitz, Reach Capital, Y Combinator, Naval Ravikant, Khosla Ventures",2016,SF Bay Area,Web Development
MLOps/Platform,Weights & Biases,https://wandb.ai/site,,"$200,000,000","NVIDIA, Gaingels, Insight Partners, Hack VC, Coatue",2017,SF Bay Area,Model development
Video,Runway,https://runwayml.com/,,"$195,500,000","Bossanova Investimentos, Madrona, Guillermo Rauch, Coatue, Bienville Capital",2018,"New York, NY",Image/Video creation/editing
Chatbot/Conversational AI,Ada,https://www.ada.cx/,,"$190,620,620","Creative Destruction Lab (CDL), Tiger Global Management, Accel, Bessemer Venture Partners, NEXT Canada",2016,North America (excl. US),Automated Virtual Agents
Summarization,PrimerAI,https://primer.ai/,,"$168,049,995","DCVC, AME Cloud Ventures, Lux Capital, Section 32, Mubadala Capital Ventures",2015,SF Bay Area,Summarization
MLOps/Platform,Hugging Face,https://huggingface.co/,,"$160,200,000","Sequoia Capital, Betaworks, Coatue, SVA, Charles Zedlewski",2016,"New York, NY",ML Models
Semantic Search,Glean,https://www.glean.com/,,"$155,000,000","Sequoia Capital, General Catalyst, Lightspeed Venture Partners, Kleiner Perkins, Slack Fund",2019,SF Bay Area,Knowledge
Chatbot/Conversational AI,Cresta,https://cresta.com/,,"$151,000,000","Zoom, CarMax, Andreessen Horowitz, Genesys, JP Morgan Chase",2017,SF Bay Area,Contact Center / Customer support
