Company,Funding (est $),Notable Investors,Headcount,URL,Description,Category,Focus,Value Chain Layer,Modality,Product Focus,Industry,Active?,Founded,HQ,Logo,Founders,Last Round,Valuation,Business Model,Open Source?,Unnamed: 21
10Web,4000000.0,"Sierra Ventures, AI Fund",,https://10web.io/," 10Web provides automated WordPress hosting, website building, and management. They offer services like website speed optimization, security, SEO, and backup.",Code,Website Generation,Applications (Horizontal),,,,,2017.0,Other US,,,,,,,
Abridge,27500000.0,"Bessemer Venture Partners, Union Square Ventures, Pillar VC, UPMC, IKS Health",,https://www.abridge.com/," Abridge
 Abridge assists individuals in understanding their health conversations. It records and transcribes medical discussions, highlighting key information for easy reference.",Summarization,Healthcare conversation documentation,Applications (Vertical),,,,,2018.0,Other US,,,,,,,
ABtesting.ai,,,,https://abtesting.ai/," ABtesting.ai provides AI-powered A/B testing solutions, optimizing website conversions and user experience through automated design and content variations.",Text,Marketing & A/B Testing,Applications (Horizontal),,,,,2019.0,Europe,,,,,,,
Accomplice,520000.0,TinySeed,,https://accomplice.ai," Accomplice is an AI tool that helps in automating and personalizing email outreach, making it more efficient and effective for businesses.",Image,AI-generated stock photos,Applications (Horizontal),,,,,2021.0,Other US,,,,,,,
Ada,190620620.0,"Creative Destruction Lab (CDL), Tiger Global Management, Accel, Bessemer Venture Partners, NEXT Canada",,https://www.ada.cx/," Ada is a company that provides an AI-powered platform to automate customer interactions, improving customer service and reducing costs.",Chatbot/Conversational AI,Automated Virtual Agents,Applications (Horizontal),,,,,2016.0,North America (excl. US),,,,,,,
AdCreative,,,,https://www.adcreative.ai/," AdCreative uses AI to automate and optimize the creation of digital ads, improving efficiency and effectiveness for marketers and advertisers.",Image,Ad generation / recommendations,Applications (Vertical),,,,,2022.0,Europe,,,,,,,
Adept,415000000.0,"NVIDIA, Microsoft, General Catalyst, Root Ventures, SVA",,https://www.adept.ai/,"* Adept is an ML research and product lab building general intelligence by enabling humans and computers to work together creatively.
- We believe that AI systems should be built with humans at the center — our vision is one where machines work together with people in the driver's seat: discovering new solutions, enabling more informed decisions, and giving us more time for the work we love.",MLOps/Platform,General intelligence,Applications (Horizontal),General / Multi-Modal,Natural Language Frontend,General,Yes,2022.0,SF Bay Area,,,,,,,
Adflow,0.0,No Data,,https://www.adflow.ai/,"* Create high conversion ads in hours seconds
- Adflow turns a few words into engaging, high conversion copy to increase sales and boost your brand.",Ad Generation & Brand Building,,Applications (Horizontal),Image,Ad Design,General,Yes,,,,,,,,,
Aflorithmic Labs,2185011000000.0,Crowd Media,36.0,www.aflorithmic.ai,* AI to build API first infrastructure for audio creation,Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,"London, UK",,,,,,,
Agolo,3540000.0,"Google, Microsoft, Alumni Ventures, Google Ventures, Thomson Reuters",,https://www.agolo.com/," Agolo uses AI to summarize business documents and reports, helping companies to quickly extract and understand essential information.",Summarization,Summarization,Applications (Horizontal),,,,,2012.0,"New York, NY",,,,,,,
AI Dungeon,4100000000000.0,"Album VC,Griffin Gaming Partners,NFX",24.0,www.latitude.io,"* The future of AI-generated games
- We’re making AI a tool of creativity and freedom for everyone.",Other Consumer,,Applications (Vertical),Text,General Writing & Editing,Games,Yes,,,,,,,,,
AI Foundation,27500000.0,"Founders Fund, Correlation Ventures, Alpha Edison, Mousse Partners, Cyan Banister",,https://aifoundation.com/," AI Foundation develops personalized AI models, aiming to democratize AI while promoting ethical use and safeguarding against malicious misuse.",MLOps/Platform,AI humans,AI Development & Tools,,,,,2017.0,SF Bay Area,,,,,,,
AI Writer,,,,https://ai-writer.com/,"AI Writer is an AI-powered tool that assists in creating SEO-optimized content, generating articles, and enhancing text quality by providing suggestions and corrections.",Text,Marketing / Content creation,Applications (Vertical),,,,,2015.0,Europe,,,,,,,
AI21 Labs,118500000.0,"Google for Startups, Pitango VC, Walden Catalyst, Ahren Innovation Capital, TPY Capital",120.0,https://www.ai21.com/,"* Your thoughts in words. 
- Say exactly what you mean through clear, compelling and authentic writing.",MLOps/Platform,"NLP models, Wordtune write / summarization",AI Development & Tools,Text,Model Development & Tools,General,Yes,2017.0,Israel,,,,,,,
AI2SQL,0.0,No Data,,https://www.ai2sql.io/,"* Write SQL in seconds
- With AI2sql, engineers and non-engineers can easily write efficient, error-free SQL queries without knowing SQL. It's time to take back your time!","Generation for Code, Terminal, and Querying",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,MENA,,,,,,,
Aide,0.0,"Allison Pickens,Farhan Thawar,GarageCapital,Kevin Carter,Khallil Mangalji,Prehype,SV Angel,Village Global",3.0,www.aide.app,"* Understand and solve every support issue in seconds
- Identify common issues and use AI suggested solutions for fast responses and happy users",Knowledge Bases / Vector Search Apps,,Applications (Horizontal),Text,Customer support / Knowledge Management,General,Yes,,,,,,,,,
Aimi,24000000000000.0,"Endanik,Ethos VC,Founders Fund,Great Mountain Partners",25.0,www.aimi.fm,* Turn minutes into forever with Aimi artist experiences,Music,,Applications (Horizontal),Audio,Music Generation,General,Yes,,US,,,,,,,
Air Inc,28220000.0,"Tiger Global, Lerer Hippeau, WndrCo, Slack Ventures, Red Sea Ventures, and Advancit Capital",,https://air.inc/," Air Inc is a visual workspace for creative teams to collaborate on projects, manage content, and streamline workflows in a centralized platform.",Semantic Search,Marketing / search,Applications (Horizontal),,,,,2022.0,SF Bay Area,,,,,,,
AirPaper,0.0,No Data,,https://airpaper.ai/,* Automated document extraction powered by Large Language Models,Business Intelligence,,Applications (Horizontal),Text,Summarisation & Insights,General,No,,,,,,,,,
AISEO,,,,https://aiseo.ai/," AISEO provides AI-driven SEO solutions, helping businesses improve their search engine rankings, increase organic traffic and optimize their website's content for better visibility.",Text,Marketing / Copywriting,Applications (Vertical),,,,,2021.0,Europe,,,,,,,
Aiva Technologies,2466273.0,"NetEase, Kima Ventures",13.0,https://www.aiva.ai/,* The Artificial Intelligence composing emotional soundtrack music,Audio,Song generation,Applications (Horizontal),Audio,Music Generation,General,Yes,2016.0,Europe,,,,,,,
AiXcoder,0.0,"Galileo Venture,GL Ventures,PreAngel",,www.aixcoder.com,* Local model only AI pair programmer,"Generation for Code, Terminal, and Querying",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
aiXcoder,2050395.0,"Hillhouse Capital Group, PreAngel",,https://www.aixcoder.com/,aiXcoder offers an AI-powered coding assistant that helps developers write code more efficiently by providing real-time suggestions and error detection.,Code,Code Completion,AI Development & Tools,,,,,2017.0,APAC,,,,,,,
Akooda,2800000.0,"NFX, Village Global, Founder Collective, Argon Ventures, New Era Capital Partners, Intel Ignite",,https://www.akooda.co/," Akooda
 Akooda is a platform that uses AI to generate personalized and interactive 3D avatars for enhanced digital communication and social interaction.",Data,SaaS knowledge management,Applications (Vertical),,,,,2020.0,Other US,,,,,,,
Alethea AI,16200000000000.0,"6th Man Ventures,Binance Labs,BITKRAFT Ventures,Bitscale Capital,Chapter One Ventures,CMS Holdings (New York),Crasolum Ventures,Crypto.com Capital,DeFiance Capital,Forum Ventures,Free Company Ventures,Galaxy Interactive (New York),Gemini Frontier Fund,Griffin Gaming Partners,HOF Capital,Ignite Group (Honk Kong),KID Venture Capital,Mark Cuban,Multicoin Capital,Nascent (Investment firm),Olive Tree Capital,RedBeard Ventures,Right Side Capital Management,Sax Capital,Sfermion,White Star Capital",100.0,www.alethea.ai,* Using AI & Blockchain to enable ownership of AI. Initial focus on AI generated characters.,Chatbots & Avatars,,Applications (Horizontal),Video,Avatars,General,Yes,,,,,,,,,
Algomo,0.0,,10.0,www.algomo.com,* Customer service automation in every language,Knowledge Bases / Semantic Search Apps,,Applications (Horizontal),Text,Customer support / Knowledge Management,General,Yes,,,,,,,,,
Alpaca,,,,https://www.getalpaca.io/, Alpaca offers commission-free API stock trading for algorithmic trading with a scalable cloud-based platform suitable for developers and traders.,Image,Photo enhancement,Applications (Vertical),,,,,2022.0,North America (excl. US),,,,,,,
Altered,3300000.0,Big Pi,6.0,https://www.altered.ai/,"* Augment Your Voice
- Our unique technology allows you to change your voice to any of our carefully curated portfolio or custom voices and create compelling professional voice performances.",Audio,Voice augmentation,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,2018.0,"London, UK",,,,,,,
Amadeus Code,1825534.0,World Innovation Lab (WiL),,https://amadeuscode.com/app/en, Amadeus Code is an AI-powered songwriting assistant. It generates unique song ideas to inspire musicians and streamline their songwriting process.,Audio,Song generation,Applications (Vertical),,,,,2017.0,APAC,,,,,,,
AMAI,0.0,"Crosesell,Joint Journey Intelligent Investments,NRG Ventures,Sergey Dashkov",8.0,www.amai.io,"* AI Voices That Sound Like Humans but Scale Like Software
- Use realistic speech synthesis and save 30% or even more on any voice content production",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,,,,,,,,
Amazing Photos,,,,https://amazing.photos/," Amazing Photos is an AI-powered platform that enhances and improves the quality of images, making them look professional and stunning.",Image,Image Generation,Applications (Vertical),,,,,2023.0,Unknown,,,,,,,
Amazon CodeWhisperer,8108000000.0,"DBS Bank, AOL, Mizuho Bank, Kleiner Perkins",,https://aws.amazon.com/codewhisperer/," Amazon CodeWhisperer is an AI service that automatically checks, validates, and optimizes your code, making it more efficient and error-free.",Code,Code Completion / Documentation,AI Development & Tools,,,,,1994.0,"Seattle, WA",,,,,,,
Amberscript,9995401.0,"Endeit Capital, VentureBuilders Capital",,https://www.amberscript.com/en/," Amberscript
 Transforms audio and video into text using AI. Ideal for transcriptions, subtitles, and captions.",Audio,Transcription and subtitles,Applications (Vertical),,,,,2017.0,Europe,,,,,,,
Amper,9000000.0,Insight Partners,,https://www.ampermusic.com/," Amper
 Amper is an AI music platform that enables users to create and customize original music without needing any prior music experience.",Audio,Song generation,Applications (Vertical),,,,,2003.0,"New York, NY",,,,,,,
Andi,2500000.0,"Gaingels, Y Combinator, Goodwater Capital, BBQ Capital, Acacia Venture Capital Partners",8.0,https://andisearch.com/,"* Hello! I'm Andi, your smart search assistant. The more detailed your question, the better I can help ",Semantic Search,Smart Search Assistant,Applications (Horizontal),Text,Search,General,Yes,2021.0,"New York, NY",,,,,,,
