Company Name,Funding (est $),Notable Investors,Headcount,URL,Description,Category,Focus,Value Chain Layer,Modality,Product Focus,Industry,Active?,Founded,HQ,Logo,Founders,Last Round,Valuation,Business Model,Open Source?,
10Web,"$4,000,000","Sierra Ventures, AI Fund",,https://10web.io/,,Code,Website Generation,,,,,,,Other US,,,,,,,
Abridge,"$27,500,000","Bessemer Venture Partners, Union Square Ventures, Pillar VC, UPMC, IKS Health",,https://www.abridge.com/,,Summarization,Healthcare conversation documentation,,,,,,,Other US,,,,,,,
ABtesting.ai,,,,https://abtesting.ai/,,Text,Marketing & A/B Testing,,,,,,,Europe,,,,,,,
Accomplice,"$520,000",TinySeed,,https://accomplice.ai,,Image,AI-generated stock photos,,,,,,,Other US,,,,,,,
Ada,"$190,620,620","Creative Destruction Lab (CDL), Tiger Global Management, Accel, Bessemer Venture Partners, NEXT Canada",,https://www.ada.cx/,,Chatbot/Conversational AI,Automated Virtual Agents,,,,,,,North America (excl. US),,,,,,,
AdCreative,,,,https://www.adcreative.ai/,,Image,Ad generation / recommendations,,,,,,,Europe,,,,,,,
Adept,"$415,000,000","10X Capital,Addition,Air Street Capital,Andrej Karpathy,Chris Re,Greylock Partners,Howie Liu,Root Ventures,Sarah Meyohas,Scott Belsky,NVIDIA, Microsoft, General Catalyst, SVA",,www.adept.ai,"* Adept is an ML research and product lab building general intelligence by enabling humans and computers to work together creatively.
- We believe that AI systems should be built with humans at the center — our vision is one where machines work together with people in the driver's seat: discovering new solutions, enabling more informed decisions, and giving us more time for the work we love.",Natural Language Frontends,,Applications (Horizontal),General / Multi-Modal,Natural Language Frontend,General,Yes,,SF Bay Area,,,,,,,
Adflow,$0 ,No Data,,https://www.adflow.ai/,"* Create high conversion ads in hours seconds
- Adflow turns a few words into engaging, high conversion copy to increase sales and boost your brand.",Ad Generation & Brand Building,,Applications (Horizontal),Image,Ad Design,General,Yes,,,,,,,,,
Aflorithmic Labs,"$2,185,011",Crowd Media,36,www.aflorithmic.ai,* AI to build API first infrastructure for audio creation,Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,"London, UK",,,,,,,
Agolo,"$3,540,000","Google, Microsoft, Alumni Ventures, Google Ventures, Thomson Reuters",,https://www.agolo.com/,,Summarization,Summarization,,,,,,,"New York, NY",,,,,,,
AI Dungeon,"$4,100,000 ","Album VC,Griffin Gaming Partners,NFX",24,www.latitude.io,"* The future of AI-generated games
- We’re making AI a tool of creativity and freedom for everyone.",Other Consumer,,Applications (Vertical),Text,General Writing & Editing,Games,Yes,,,,,,,,,
AI Foundation,"$27,500,000","Founders Fund, Correlation Ventures, Alpha Edison, Mousse Partners, Cyan Banister",,https://aifoundation.com/,,MLOps/Platform,AI humans,,,,,,,SF Bay Area,,,,,,,
AI Writer,,,,https://ai-writer.com/,,Text,Marketing / Content creation,,,,,,,Europe,,,,,,,
AI21 Labs,"$118,500,000","8VC,Ahren Innovation Capital,Amnon Shashua,Mark Leslie,TPY Capital,Walden Catalyst, Google for Startups, Pitango VC, Ahren Innovation Capital",120,www.ai21.com,"* Your thoughts in words. 
- Say exactly what you mean through clear, compelling and authentic writing.",Foundation Model Providers,,AI Development & Tools,Text,Model Development & Tools,General,Yes,,Israel,,,,,,,
AI2SQL,$0 ,No Data,,https://www.ai2sql.io/,"* Write SQL in seconds
- With AI2sql, engineers and non-engineers can easily write efficient, error-free SQL queries without knowing SQL. It's time to take back your time!","Generation for Code, Terminal, and Querying",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,MENA,,,,,,,
Aide,$0 ,"Allison Pickens,Farhan Thawar,GarageCapital,Kevin Carter,Khallil Mangalji,Prehype,SV Angel,Village Global",3,www.aide.app,"* Understand and solve every support issue in seconds
- Identify common issues and use AI suggested solutions for fast responses and happy users",Knowledge Bases / Vector Search Apps,,Applications (Horizontal),Text,Customer support / Knowledge Management,General,Yes,,,,,,,,,
Aimi,"$24,000,000 ","Endanik,Ethos VC,Founders Fund,Great Mountain Partners",25,www.aimi.fm,* Turn minutes into forever with Aimi artist experiences,Music,,Applications (Horizontal),Audio,Music Generation,General,Yes,,US,,,,,,,
Air Inc,"$28,220,000","Tiger Global, Lerer Hippeau, WndrCo, Slack Ventures, Red Sea Ventures, and Advancit Capital",,https://air.inc/,,Semantic Search,Marketing / search,,,,,,,SF Bay Area,,,,,,,
AirPaper,$0 ,No Data,,https://airpaper.ai/,* Automated document extraction powered by Large Language Models,Business Intelligence,,Applications (Horizontal),Text,Summarisation & Insights,General,No,,,,,,,,,
AISEO,,,,https://aiseo.ai/,,Text,Marketing / Copywriting,,,,,,,Europe,,,,,,,
Aiva Technologies,"$2,300,000 ","Docler Holding,Geoffroy Verney-Carron,Horizon 2020 SME Instrument,Kima Ventures,Luxinnovation,NetEase,Pitch Your Startup",13,www.aiva.ai,* The Artificial Intelligence composing emotional soundtrack music,Music,,Applications (Horizontal),Audio,Music Generation,General,Yes,,,,,,,,,
Aiva Technologies,"$2,466,273","NetEase, Kima Ventures",,https://www.aiva.ai/,,Audio,Song generation,,,,,,,Europe,,,,,,,
AiXcoder,$0 ,"Galileo Venture,GL Ventures,PreAngel",,www.aixcoder.com,* Local model only AI pair programmer,"Generation for Code, Terminal, and Querying",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
aiXcoder,"$2,050,395","Hillhouse Capital Group, PreAngel",,https://www.aixcoder.com/,,Code,Code Completion,,,,,,,APAC,,,,,,,
Akooda,"$2,800,000","NFX, Village Global, Founder Collective, Argon Ventures, New Era Capital Partners, Intel Ignite",,https://www.akooda.co/,,Data,SaaS knowledge management,,,,,,,Other US,,,,,,,
Alethea AI,"$16,200,000 ","6th Man Ventures,Binance Labs,BITKRAFT Ventures,Bitscale Capital,Chapter One Ventures,CMS Holdings (New York),Crasolum Ventures,Crypto.com Capital,DeFiance Capital,Forum Ventures,Free Company Ventures,Galaxy Interactive (New York),Gemini Frontier Fund,Griffin Gaming Partners,HOF Capital,Ignite Group (Honk Kong),KID Venture Capital,Mark Cuban,Multicoin Capital,Nascent (Investment firm),Olive Tree Capital,RedBeard Ventures,Right Side Capital Management,Sax Capital,Sfermion,White Star Capital",100,www.alethea.ai,* Using AI & Blockchain to enable ownership of AI. Initial focus on AI generated characters.,Chatbots & Avatars,,Applications (Horizontal),Video,Avatars,General,Yes,,,,,,,,,
Algomo,$0 ,,10,www.algomo.com,* Customer service automation in every language,Knowledge Bases / Semantic Search Apps,,Applications (Horizontal),Text,Customer support / Knowledge Management,General,Yes,,,,,,,,,
Alpaca,,,,https://www.getalpaca.io/,,Image,Photo enhancement,,,,,,,North America (excl. US),,,,,,,
Altered,"$3,400,000 ","Big Pi Ventures,PTW",6,www.altered.ai,"* Augment Your Voice
- Our unique technology allows you to change your voice to any of our carefully curated portfolio or custom voices and create compelling professional voice performances.",Accent Modulation & Voice Augmentation,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,,,,,,,,
Altered,"$3,300,000",Big Pi,,https://www.altered.ai/,,Audio,Voice augmentation,,,,,,,"London, UK",,,,,,,
